PLAYERS,WEREWOLF,FRAMER,CLEANER,ELDER,FRIETSAUS,KETCHUP,BBQSAUS,PICALILLYSAUS,SCEPTIC,CHILI_TOT,CHILI_A,CHILI_B,JESTER
2,1,0,0,0,1,0,0,0,0,0,0,0,0
3,1,0,0,0,1,1,0,0,0,0,0,0,0
4,1,0,0,0,0,1,1,0,0,0,1,0,0
5,1,0,0,0,1,1,1,0,0,0,1,0,0
6,2,0,0,0,1,1,1,0,0,0,1,0,0
7,2,0,0,0,1,2,1,0,0,0,1,0,0
8,2,0,0,0,2,2,1,0,0,0,1,0,0
9,2,0,0,0,2,2,2,0,0,0,1,0,0
10,2,0,0,0,2,3,2,0,0,0,1,0,0
11,2,0,0,0,2,3,2,0,0,0,2,0,0
12,3,0,0,0,2,5,2,0,0,0,0,0,0
13,3,0,0,0,2,6,2,0,0,0,0,0,0
14,3,0,0,0,2,7,2,0,0,0,0,0,0
15,4,0,0,0,2,7,2,0,0,0,0,0,0
16,4,0,0,0,3,7,2,0,0,0,0,0,0
17,4,0,0,0,3,7,2,0,0,0,1,0,0
18,4,0,0,0,3,8,2,0,0,0,1,0,0
19,4,0,0,0,3,7,3,0,0,0,2,0,0
20,4,0,0,0,3,8,3,0,0,0,2,0,0
21,4,0,0,0,3,9,3,0,0,0,2,0,0
22,5,0,0,0,3,9,3,0,0,0,2,0,0
23,5,0,0,0,3,9,3,0,0,0,3,0,0
24,5,0,0,0,3,10,3,0,0,0,3,0,0
25,5,0,0,0,3,10,4,0,0,0,3,0,0
26,5,0,0,0,3,10,4,0,0,0,4,0,0
27,5,0,0,0,4,10,4,0,0,0,4,0,0
28,5,0,0,0,4,10,5,0,0,0,4,0,0
29,6,0,0,0,4,10,5,0,0,0,4,0,0
30,6,0,0,0,5,10,5,0,0,0,4,0,0
31,6,0,0,0,5,11,5,0,0,0,4,0,0
32,6,0,0,0,5,11,6,0,0,0,4,0,0
33,6,0,0,0,5,12,6,0,0,0,4,0,0
34,6,0,0,0,5,12,6,0,0,0,5,0,0
35,6,0,0,0,6,12,6,0,0,0,5,0,0
36,6,0,0,0,6,12,7,0,0,0,5,0,0
37,6,0,0,0,6,12,7,0,0,0,6,0,0
38,7,0,0,0,6,12,7,0,0,0,6,0,0
39,7,0,0,0,6,12,8,0,0,0,6,0,0
40,7,0,0,0,6,13,8,0,0,0,6,0,0
41,8,0,0,0,6,13,8,0,0,0,6,0,0
42,8,0,0,0,6,14,8,0,0,0,6,0,0
43,8,0,0,0,6,14,9,0,0,0,6,0,0
44,8,0,0,0,7,14,9,0,0,0,6,0,0
45,8,0,0,0,7,15,9,0,0,0,6,0,0
46,9,0,0,0,7,15,9,0,0,0,6,0,0
47,9,0,0,0,7,16,9,0,0,0,6,0,0
48,9,0,0,0,7,16,9,0,0,0,7,0,0
49,9,0,0,0,7,16,10,0,0,0,7,0,0
50,9,0,0,0,8,16,10,0,0,0,7,0,0
